"Target","Side","Case","Cells","Values","Weights","Topology","Compatibility","Trace","Repeat","ElapsedMs","MinimumMs","MaximumMs","Decisions","Propagations","Backtracks","Contradictions","TraceEvents","RngDraws","AssignmentChecksum"
"current64","candidate","independent-1024-v2-unit-t1","1024","2","unit","independent","dense","1","2","0","0","0","1024","0","0","0","2049","1024","2F801D18"
"current64","baseline","independent-1024-v2-unit-t1","1024","2","unit","independent","dense","1","2","16","0","16","1024","0","0","0","2049","1024","2F801D18"
"current64","baseline","independent-1024-v2-skewed-t0","1024","2","skewed","independent","dense","0","2","156","78","78","1024","0","0","0","0","1024","75444F64"
"current64","candidate","independent-1024-v2-skewed-t0","1024","2","skewed","independent","dense","0","2","0","0","0","1024","0","0","0","0","1024","75444F64"
"current64","candidate","independent-1024-v2-skewed-t1","1024","2","skewed","independent","dense","1","2","15","0","15","1024","0","0","0","2049","1024","75444F64"
"current64","baseline","independent-1024-v2-skewed-t1","1024","2","skewed","independent","dense","1","2","156","78","78","1024","0","0","0","2049","1024","75444F64"
"current64","baseline","independent-1024-v4-unit-t0","1024","4","unit","independent","dense","0","2","15","0","15","1024","0","0","0","0","1024","2182CB57"
"current64","candidate","independent-1024-v4-unit-t0","1024","4","unit","independent","dense","0","2","0","0","0","1024","0","0","0","0","1024","2182CB57"
"current64","candidate","independent-1024-v4-unit-t1","1024","4","unit","independent","dense","1","2","0","0","0","1024","0","0","0","4097","1024","2182CB57"
"current64","baseline","independent-1024-v4-unit-t1","1024","4","unit","independent","dense","1","2","16","0","16","1024","0","0","0","4097","1024","2182CB57"
"current64","baseline","independent-1024-v4-skewed-t0","1024","4","skewed","independent","dense","0","2","156","78","78","1024","0","0","0","0","1024","322A5BB8"
"current64","candidate","independent-1024-v4-skewed-t0","1024","4","skewed","independent","dense","0","2","16","0","16","1024","0","0","0","0","1024","322A5BB8"
"current64","candidate","independent-1024-v4-skewed-t1","1024","4","skewed","independent","dense","1","2","0","0","0","1024","0","0","0","4097","1024","322A5BB8"
"current64","baseline","independent-1024-v4-skewed-t1","1024","4","skewed","independent","dense","1","2","157","78","79","1024","0","0","0","4097","1024","322A5BB8"
"current64","baseline","independent-4096-v2-unit-t0","4096","2","unit","independent","dense","0","1","78","78","78","4096","0","0","0","0","4096","3DF242B4"
"current64","candidate","independent-4096-v2-unit-t0","4096","2","unit","independent","dense","0","1","0","0","0","4096","0","0","0","0","4096","3DF242B4"
"current64","candidate","independent-4096-v2-unit-t1","4096","2","unit","independent","dense","1","1","0","0","0","4096","0","0","0","8193","4096","3DF242B4"
